観測所番号,都道府県,地点,国際地点番号,現在時刻(年),現在時刻(月),現在時刻(日),現在時刻(時),現在時刻(分),現在値(mm),現在値の品質情報,今日の最大値(mm),今日の最大値の品質情報,今日の最大値起時（時）(まで),今日の最大値起時（分）(まで),今日の最大値起時(まで)の品質情報,極値更新,10年未満での極値更新,昨日までの観測史上1位の値(mm),昨日までの観測史上1位の値の品質情報,昨日までの観測史上1位の値の年,昨日までの観測史上1位の値の月,昨日までの観測史上1位の値の日,昨日までの6月の1位の値(mm),昨日までの6月の1位の値の品質情報,昨日までの6月の1位の値の年,昨日までの6月の1位の値の月,昨日までの6月の1位の値の日,統計開始年
65306,和歌山県,西川（ニシカワ）,,2019,06,30,05,50,0.0,8,3.0,4,02,57,4,,,89.5,8,2018,08,23,84.5,8,2017,06,21,1979
65311,和歌山県,色川（イロカワ）,,2019,06,30,05,50,0.0,8,2.5,4,00,32,4,,,96,8,1988,09,06,64.5,8,2017,06,21,1977
65321,和歌山県,日置川（ヒキガワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,89.5,8,2017,06,21,89.5,8,2017,06,21,1976
65356,和歌山県,潮岬（シオノミサキ）,47778,2019,06,30,05,50,0.0,8,0.0,4,,,,,,145.0,8,1972,11,14,70.0,8,1967,06,25,1937
66046,岡山県,上長田（カミナガタ）,,2019,06,30,05,50,0.0,8,6.0,4,02,27,4,,,73.0,8,2013,07,15,39.0,8,2016,06,20,1978
66056,岡山県,恩原（オンバラ）,,2019,06,30,05,50,1.0,8,6.5,4,02,46,4,,,54,8,1998,10,17,37,8,1999,06,29,1981
66091,岡山県,千屋（チヤ）,,2019,06,30,05,50,1.0,8,5.5,4,02,00,4,,,50.5,8,2012,08,13,32,8,1997,06,28,1978
66112,岡山県,富（トミ）,,2019,06,30,05,50,1.5,8,7.5,4,02,31,4,,,62,8,2007,08,19,42.0,8,2008,06,21,2006
66127,岡山県,奈義（ナギ）,,2019,06,30,05,50,0.0,8,4.0,4,01,40,4,,,66,8,2002,07,10,40.5,8,2016,06,20,1977
66136,岡山県,今岡（イマオカ）,,2019,06,30,05,50,0.0,8,5.0,4,02,18,4,,,73,8,1978,09,15,61.5,8,2014,06,07,1976
66171,岡山県,久世（クセ）,,2019,06,30,05,50,0.5,8,4.0,4,02,04,4,,,61.5,8,2012,07,20,60.0,8,2011,06,30,1976
66186,岡山県,津山（ツヤマ）,47756,2019,06,30,05,50,0.0,8,4.0,4,02,07,4,,,93.0,8,1977,09,03,43.8,8,1959,06,24,1943
66221,岡山県,新見（ニイミ）,,2019,06,30,05,50,0.5,8,3.5,4,01,48,4,,,58,8,2005,07,01,43.0,8,2014,06,12,1978
66226,岡山県,下呰部（シモアザエ）,,2019,06,30,05,50,0.0,8,4.5,4,01,46,4,,,67,8,1982,08,07,43,8,1988,06,24,1976
66237,岡山県,旭西（アサヒニシ）,,2019,06,30,05,50,0.0,8,4.0,4,01,02,4,,,67.5,8,2013,08,05,38.5,8,2014,06,12,2010
66251,岡山県,赤磐（アカイワ）,,2019,06,30,05,50,0.0,8,3.0,4,01,41,4,,,64,8,2004,08,05,41,8,2004,06,28,1976
66276,岡山県,陣山（ジンヤマ）,,2019,06,30,05,50,0.5,8,3.5,4,01,30,4,,,64.5,8,2012,07,07,44.0,8,2009,06,15,1976
66287,岡山県,吉備中央（キビチュウオウ）,,2019,06,30,05,50,0.0,8,3.5,4,01,41,4,,,65.0,8,2012,07,21,31.0,8,2016,06,24,2006
66296,岡山県,福渡（フクワタリ）,,2019,06,30,05,50,0.0,8,3.5,4,01,34,4,,,61,8,1982,08,07,38,8,2004,06,07,1976
66306,岡山県,和気（ワケ）,,2019,06,30,05,50,0.0,8,1.5,4,00,05,4,,,87,8,2003,08,08,33,8,1980,06,28,1976
66336,岡山県,高梁（タカハシ）,,2019,06,30,05,50,0.0,8,3.0,4,01,45,4,,,55,8,1988,06,27,55,8,1988,06,27,1976
66346,岡山県,日応寺（ニチオウジ）,,2019,06,30,05,50,0.0,8,2.0,4,01,08,4,,,49.5,8,2017,07,29,29.0,8,2019,06,21,2003
66381,岡山県,佐屋（サヤ）,,2019,06,30,05,50,0.0,8,3.0,4,00,46,4,,,61,8,2007,08,19,36.0,8,2016,06,24,1976
66391,岡山県,矢掛（ヤカゲ）,,2019,06,30,05,50,0.0,8,2.0,4,01,01,4,,,60,8,1988,08,24,35,8,2006,06,26,1976
66408,岡山県,岡山（オカヤマ）,47768,2019,06,30,05,50,0.0,8,2.0,4,01,22,4,,,73.5,8,1994,07,07,47.5,8,2006,06,26,1933
66421,岡山県,虫明（ムシアゲ）,,2019,06,30,05,50,0.0,8,2.0,4,00,08,4,,,81,8,2004,08,05,35.5,8,2017,06,30,1976
66446,岡山県,倉敷（クラシキ）,,2019,06,30,05,50,0.0,8,1.5,4,05,03,4,,,47,8,1990,07,29,31,8,1991,06,13,1976
66481,岡山県,笠岡（カサオカ）,,2019,06,30,05,50,0.0,8,1.5,4,00,27,4,,,46.5,8,2008,07,05,29.5,8,2016,06,21,1976
66501,岡山県,玉野（タマノ）,,2019,06,30,05,50,0.5,8,3.0,4,00,01,4,,,48,8,2004,09,29,29.5,8,2018,06,29,1976
67016,広島県,高野（タカノ）,,2019,06,30,05,50,0.5,8,6.5,4,01,01,4,,,73,8,2005,08,15,34.5,8,2009,06,22,1976
67026,広島県,道後山（ドウゴヤマ）,,2019,06,30,05,50,2.0,8,8.5,4,01,21,4,,,64.0,8,2011,07,24,26.0,8,2009,06,22,2006
67052,広島県,君田（キミタ）,,2019,06,30,05,50,0.5,8,8.0,4,01,00,4,,,78,8,2006,08,21,27.0,8,2017,06,01,2006
67106,広島県,三次（ミヨシ）,,2019,06,30,05,50,0.0,8,3.5,4,00,47,4,,,74,8,1996,07,22,41,8,1981,06,27,1976
67116,広島県,庄原（ショウバラ）,,2019,06,30,05,50,0.0,8,5.0,4,00,51,4,,,64.0,8,2010,07,16,34,8,1979,06,23,1976
67126,広島県,東城（トウジョウ）,,2019,06,30,05,50,0.0,8,5.5,4,01,25,4,,,69.5,8,2012,07,28,30,8,2001,06,19,1976
67136,広島県,八幡（ヤワタ）,,2019,06,30,05,50,0.5,8,3.5,4,00,05,4,,,72,8,1995,08,31,48,8,2001,06,19,1978
67151,広島県,大朝（オオアサ）,,2019,06,30,05,50,0.0,8,6.0,4,00,14,4,,,54,8,2006,08,21,35,8,1990,06,27,1976
67161,広島県,美土里（ミドリ）,,2019,06,30,05,50,0.5,8,5.0,4,00,35,4,,,68.5,8,2015,07,10,29.5,8,2009,06,29,2006
67191,広島県,油木（ユキ）,,2019,06,30,05,50,0.5,8,4.0,4,01,02,4,,,79,8,2004,08,06,34,8,1980,06,28,1978
67211,広島県,王泊（オオドマリ）,,2019,06,30,05,50,0.0,8,6.0,4,00,14,4,,,65.0,8,2019,06,21,65.0,8,2019,06,21,1978
67212,広島県,加計（カケ）,,2019,06,30,05,50,0.0,8,4.5,4,00,02,4,,,85,8,1992,08,25,50,8,1981,06,27,1976
67217,広島県,都志見（ツシミ）,,2019,06,30,05,50,0.0,8,5.0,4,00,13,4,,,70.0,8,2014,08,20,32.0,8,2009,06,29,2006
67231,広島県,甲田（コウダ）,,2019,06,30,05,50,0.0,8,3.0,4,00,40,4,,,63,8,2005,08,15,42.5,8,2010,06,26,1976
67251,広島県,上下（ジョウゲ）,,2019,06,30,05,50,0.0,8,2.5,4,00,43,4,,,74.0,8,2016,07,31,38,8,1980,06,28,1976
67271,広島県,内黒山（ウチグロヤマ）,,2019,06,30,05,50,0.5,8,6.0,4,00,05,4,,,62,8,1995,07,22,47.5,8,2008,06,21,1976
67292,広島県,三入（ミイリ）,,2019,06,30,05,50,0.5,8,5.5,4,02,36,4,,,101.0,8,2014,08,20,44,8,1999,06,29,1976
67306,広島県,安宿（アスカ）,,2019,06,30,05,50,2.0,8,2.5,4,05,39,4,,,59.0,8,2014,07,19,35.5,8,2017,06,30,2010
67316,広島県,世羅（セラ）,,2019,06,30,05,50,1.0,8,1.5,4,05,49,4,,,48.5,8,2017,09,12,46.5,8,2017,06,30,1976
67326,広島県,府中（フチュウ）,,2019,06,30,05,50,0.0,8,1.0,4,00,38,4,,,57,8,2000,08,17,33.5,8,2016,06,24,1976
67351,広島県,佐伯湯来（サエキユキ）,,2019,06,30,05,50,0.0,8,3.0,4,00,17,4,,,58,8,2006,09,16,33.0,8,2016,06,23,2006
67371,広島県,志和（シワ）,,2019,06,30,05,50,2.5,8,3.0,4,05,42,4,,,55.5,8,2014,08,06,43.5,8,2017,06,30,1977
67376,広島県,東広島（ヒガシヒロシマ）,,2019,06,30,05,50,0.0,8,1.0,4,03,36,4,,,73,8,2006,08,11,48,8,1999,06,29,1976
67386,広島県,本郷（ホンゴウ）,,2019,06,30,05,50,0.0,8,2.0,4,03,31,4,,,56.5,8,2018,07,06,39.0,8,2016,06,21,2003
67401,広島県,福山（フクヤマ）,47767,2019,06,30,05,50,0.5,8,1.5,4,04,32,4,,,93.0,8,2008,08,29,38.0,8,2016,06,23,1942
67421,広島県,廿日市津田（ハツカイチツタ）,,2019,06,30,05,50,0.5,8,4.5,4,03,12,4,,,87,8,1987,09,11,56.0,8,2017,06,30,1978
67437,広島県,広島（ヒロシマ）,47765,2019,06,30,05,50,0.5,8,3.0,4,02,39,4,,,79.2,8,1926,09,11,59.0,8,1933,06,29,1888
67461,広島県,竹原（タケハラ）,,2019,06,30,05,50,0.5,8,1.0,4,05,26,4,,,56.5,8,2017,07,26,38.5,8,2017,06,30,1976
67471,広島県,生口島（イクチジマ）,,2019,06,30,05,50,1.0,8,3.5,4,05,40,4,,,48,8,2007,07,03,37.0,8,2016,06,21,1976
67496,広島県,大竹（オオタケ）,,2019,06,30,05,50,3.0,8,3.0,4,05,50,4,,,68.0,8,2014,08,06,44,8,1996,06,28,1976
67511,広島県,呉（クレ）,47766,2019,06,30,05,50,0.5,8,1.5,4,03,54,4,,,74.7,8,1967,07,09,73.5,8,1999,06,29,1920
67566,広島県,倉橋（クラハシ）,,2019,06,30,05,50,0.5,8,2.0,4,05,24,4,,,62.0,8,2018,09,07,45.0,8,2017,06,30,1976
67576,広島県,呉市蒲刈（クレシカマガリ）,,2019,06,30,05,50,1.0,8,1.5,4,05,19,4,,,59.5,8,2013,08,25,38.5,8,2017,06,30,2009
68022,島根県,西郷（サイゴウ）,47740,2019,06,30,05,50,0.0,8,20.0,4,02,35,4,,,93.0,8,1988,09,27,44.5,8,1991,06,13,1939
68046,島根県,西郷岬（サイゴウミサキ）,,2019,06,30,05,50,0.0,8,14.5,4,02,19,4,,,54.0,8,2010,09,07,23.0,8,2015,06,26,2003
68056,島根県,海士（アマ）,,2019,06,30,05,50,0.0,8,14.5,4,01,46,4,,,59,8,1988,07,14,40,8,2001,06,30,1978
68091,島根県,鹿島（カシマ）,,2019,06,30,05,50,0.5,8,12.5,4,02,39,4,,,102,8,1989,10,02,46.5,8,2009,06,22,1976
68121,島根県,斐川（ヒカワ）,,2019,06,30,05,50,0.0,8,12.0,4,02,33,4,,,67,8,2005,07,02,42.0,8,2014,06,12,1976
68132,島根県,松江（マツエ）,47741,2019,06,30,05,50,1.0,8,13.0,4,02,45,4,,,77.9,8,1944,08,25,45.4,8,1958,06,28,1940
68156,島根県,出雲（イズモ）,,2019,06,30,05,50,0.0,8,8.5,4,02,22,4,,,67.5,8,2010,08,12,47.0,8,2014,06,12,1978
68166,島根県,大東（ダイトウ）,,2019,06,30,05,50,0.0,8,6.0,4,01,09,4,,,64,8,1990,09,01,34.0,8,2015,06,21,1976
68181,島根県,伯太（ハクタ）,,2019,06,30,05,50,0.0,8,6.0,4,01,33,4,,,100.5,8,2013,07,15,30,8,1997,06,28,1976
68206,島根県,佐田（サダ）,,2019,06,30,05,50,0.5,8,7.0,4,00,52,4,,,74.0,8,2012,07,06,40.0,8,2014,06,11,1976
68246,島根県,大田（オオダ）,,2019,06,30,05,50,0.0,8,7.0,4,00,18,4,,,77,8,2005,07,02,37.0,8,2009,06,22,1976
68261,島根県,掛合（カケヤ）,,2019,06,30,05,50,0.0,8,5.0,4,01,07,4,,,65.5,8,2012,07,06,35.0,8,2013,06,28,1976
68276,島根県,横田（ヨコタ）,,2019,06,30,05,50,0.0,8,4.5,4,01,31,4,,,92,8,1976,07,29,45,8,1993,06,29,1976
68286,島根県,福光（フクミツ）,,2019,06,30,05,50,0.0,8,6.0,4,00,14,4,,,67,8,2007,08,29,36.0,8,2009,06,22,1978
68306,島根県,赤名（アカナ）,,2019,06,30,05,50,0.5,8,5.0,4,00,57,4,,,62.5,8,2013,08,01,46.5,8,2009,06,22,1978
68346,島根県,桜江（サクラエ）,,2019,06,30,05,50,0.0,8,6.5,4,00,08,4,,,92.5,8,2013,08,24,38.5,8,2009,06,22,1976
68351,島根県,川本（カワモト）,,2019,06,30,05,50,0.5,8,5.5,4,00,22,4,,,59.0,8,2016,07,11,38.0,8,2009,06,22,1976
68376,島根県,浜田（ハマダ）,47755,2019,06,30,05,50,0.0,8,5.0,4,00,01,4,,,91.0,8,1983,07,23,43.3,8,1958,06,30,1912
68401,島根県,瑞穂（ミズホ）,,2019,06,30,05,50,0.5,8,3.0,4,00,34,4,,,62,8,2006,07,08,43.0,8,2017,06,01,1976
68421,島根県,三隅（ミスミ）,,2019,06,30,05,50,0.0,8,3.0,4,00,05,4,,,100,8,1988,07,20,38,8,1990,06,27,1976
68431,島根県,弥栄（ヤサカ）,,2019,06,30,05,50,0.0,8,4.0,4,00,04,4,,,83,8,1995,08,31,36.0,8,2018,06,28,1978
68436,島根県,波佐（ハザ）,,2019,06,30,05,50,0.5,8,4.5,4,00,01,4,,,82.0,8,2017,07,05,45.5,8,2017,06,01,1977
68456,島根県,高津（タカツ）,,2019,06,30,05,50,0.0,8,1.0,4,00,18,4,,,87.0,8,2013,08,25,27.5,8,2017,06,29,2003
68462,島根県,益田（マスダ）,,2019,06,30,05,50,0.0,8,1.0,4,00,01,4,,,90,4,1983,07,23,54,8,1993,06,28,1978
68501,島根県,匹見（ヒキミ）,,2019,06,30,05,50,0.0,8,4.5,4,00,09,4,,,63.5,8,2010,07,12,38,8,1981,06,27,1977
68516,島根県,津和野（ツワノ）,,2019,06,30,05,50,0.5,8,3.5,4,00,01,4,,,91.5,8,2013,07,28,36,8,1985,06,23,1976
68541,島根県,吉賀（ヨシカ）,,2019,06,30,05,50,0.0,8,3.0,4,00,20,4,,,83.5,8,2010,07,07,47,8,2007,06,18,2006
69006,鳥取県,境（サカイ）,47742,2019,06,30,05,50,1.5,8,12.0,4,02,50,4,,,71.3,8,1953,08,25,38.0,8,1984,06,26,1931
69021,鳥取県,塩津（シオツ）,,2019,06,30,05,50,1.0,8,5.5,4,02,39,4,,,74,8,1991,07,31,32.0,8,2014,06,12,1977
69041,鳥取県,青谷（アオヤ）,,2019,06,30,05,50,0.5,8,6.0,4,02,12,4,,,60,8,1987,10,17,27.0,8,2009,06,22,1976
69052,鳥取県,湖山（コヤマ）,,2019,06,30,05,50,0.0,8,5.5,4,03,17,4,,,67.0,8,2013,08,01,38.0,8,2014,06,12,2003
69061,鳥取県,岩井（イワイ）,,2019,06,30,05,50,0.0,8,6.5,4,03,31,4,,,68.0,8,2017,09,17,42,8,1996,06,17,1976
69076,鳥取県,米子（ヨナゴ）,47744,2019,06,30,05,50,0.0,8,6.5,4,02,26,4,,,66.5,8,2013,07,15,36.5,8,2017,06,29,1939
69101,鳥取県,倉吉（クラヨシ）,,2019,06,30,05,50,0.0,8,3.0,4,03,09,4,,,78,8,1987,10,17,30,8,2000,06,23,1976
69111,鳥取県,鹿野（シカノ）,,2019,06,30,05,50,0.0,8,4.5,4,02,47,4,,,70,8,1997,09,23,63,8,1997,06,28,1982
69122,鳥取県,鳥取（トットリ）,47746,2019,06,30,05,50,0.0,8,4.0,4,03,12,4,,,68.0,8,1981,07,03,51.5,8,1972,06,08,1943
69152,鳥取県,大山（ダイセン）,,2019,06,30,05,50,2.0,8,7.0,4,01,43,4,,,90,8,2005,08,15,48.0,8,2017,06,01,1982
69161,鳥取県,関金（セキガネ）,,2019,06,30,05,50,0.0,8,6.0,4,02,35,4,,,50,8,1997,06,28,50,8,1997,06,28,1977
69181,鳥取県,佐治（サジ）,,2019,06,30,05,50,0.5,8,5.0,4,02,58,4,,,67.0,8,2008,07,13,37,8,1997,06,28,1982
69196,鳥取県,若桜（ワカサ）,,2019,06,30,05,50,0.0,8,3.0,4,03,25,4,,,69,8,1991,07,31,47.5,8,2014,06,12,1977
69222,鳥取県,江尾（エビ）,,2019,06,30,05,50,0.0,8,6.0,4,02,09,4,,,87.0,8,2013,07,15,29.5,8,2009,06,22,1982
69246,鳥取県,智頭（チズ）,,2019,06,30,05,50,0.0,8,5.5,4,03,02,4,,,48.0,8,2017,07,04,47,8,1984,06,26,1976
69271,鳥取県,茶屋（チャヤ）,,2019,06,30,05,50,0.0,8,4.0,4,01,55,4,,,54,8,2005,07,01,43,8,1993,06,29,1978
71066,徳島県,池田（イケダ）,,2019,06,30,05,50,0.0,8,2.0,4,04,51,4,,,64,8,1983,09,28,48,8,1988,06,25,1976
71087,徳島県,穴吹（アナブキ）,,2019,06,30,05,50,0.5,8,0.5,4,05,50,4,,,70.0,8,2013,08,02,31,8,2001,06,20,2001
71106,徳島県,徳島（トクシマ）,47895,2019,06,30,05,50,0.0,8,0.0,4,,,,,,90.5,8,2009,08,10,60.5,8,1972,06,08,1901
71136,徳島県,半田（ハンダ）,,2019,06,30,05,50,1.0,8,1.5,4,05,25,4,,,63.5,8,2010,07,19,54,8,1988,06,25,1978
71191,徳島県,京上（キョウジョウ）,,2019,06,30,05,50,0.5,8,1.0,4,05,18,4,,,92,8,1983,09,06,45.5,8,2010,06,18,1978
71211,徳島県,福原旭（フクハラアサヒ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,97,8,1979,09,30,53,8,2004,06,21,1976
71231,徳島県,蒲生田（カモダ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,93.5,8,2010,09,27,68,8,1980,06,08,1978
71251,徳島県,木頭（キトウ）,,2019,06,30,05,50,0.0,8,0.5,4,05,13,4,,,100.5,8,2009,08,10,58,8,1985,06,23,1979
71266,徳島県,日和佐（ヒワサ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,108.5,8,2010,07,13,96.0,8,2008,06,29,1976
71291,徳島県,海陽（カイヨウ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,87.0,8,2014,08,02,62.5,8,2012,06,16,2009
72061,香川県,内海（ウチノミ）,,2019,06,30,05,50,0.0,8,3.5,4,00,19,4,,,95,8,1976,09,11,28,8,2004,06,21,1976
72086,香川県,高松（タカマツ）,47891,2019,06,30,05,50,0.0,8,2.0,4,04,21,4,,,68.5,8,1998,09,22,36.0,8,1993,06,29,1941
72111,香川県,多度津（タドツ）,47890,2019,06,30,05,50,0.0,8,2.0,4,04,02,4,,,64.5,8,1978,09,05,36.0,8,2010,06,28,1893
72121,香川県,滝宮（タキノミヤ）,,2019,06,30,05,50,0.0,8,2.0,4,00,25,4,,,45,8,1988,07,13,34.5,8,2018,06,29,1976
72126,香川県,香南（コウナン）,,2019,06,30,05,50,0.0,8,1.0,4,00,48,4,,,72,8,2004,10,20,27.5,8,2013,06,15,2003
72146,香川県,引田（ヒケタ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,94,8,1979,09,30,46,8,2004,06,07,1976
72161,香川県,財田（サイタ）,,2019,06,30,05,50,0.5,8,1.0,4,04,48,4,,,65.5,8,2016,08,25,35,8,1999,06,29,1978
72176,徳島県,竜王山（リュウオウザン）,,2019,06,30,05,50,0.0,8,1.0,4,00,53,4,,,89,8,2004,07,09,41,8,2003,06,24,1976
73001,愛媛県,大三島（オオミシマ）,,2019,06,30,05,50,1.0,8,3.0,4,05,33,4,,,59.0,8,2014,08,22,44.5,8,2016,06,21,1976
73071,愛媛県,玉川（タマガワ）,,2019,06,30,05,50,0.0,8,5.5,4,02,36,4,,,66,8,1999,09,15,36,8,2001,06,19,1976
73076,愛媛県,今治（イマバリ）,,2019,06,30,05,50,0.0,8,3.0,4,02,40,4,,,49.5,8,2009,08,01,37,8,2004,06,27,1976
73126,愛媛県,西条（サイジョウ）,,2019,06,30,05,50,0.0,8,1.5,4,03,38,4,,,69.0,8,2008,08,29,34.0,8,2016,06,20,1976
73141,愛媛県,新居浜（ニイハマ）,,2019,06,30,05,50,0.0,8,2.0,4,04,22,4,,,86.5,8,2017,09,17,20.5,8,2018,06,29,2016
73151,愛媛県,四国中央（シコクチュウオウ）,,2019,06,30,05,50,0.0,8,1.0,4,04,42,4,,,61.0,8,2013,09,04,32,8,2007,06,09,1978
73152,愛媛県,富郷（トミサト）,,2019,06,30,05,50,0.0,8,2.5,4,04,45,4,,,95.0,8,2013,09,04,39,8,2001,06,19,1978
73166,愛媛県,松山（マツヤマ）,47887,2019,06,30,05,50,0.0,8,3.5,4,03,05,4,,,60.5,8,1992,08,02,47.0,8,2001,06,20,1890
73168,愛媛県,松山南吉田（マツヤマミナミヨシダ）,,2019,06,30,05,50,0.0,8,2.5,4,02,56,4,,,66.0,8,2015,07,09,33,8,2004,06,25,2003
73231,愛媛県,上林（カミハヤシ）,,2019,06,30,05,50,0.0,8,4.0,4,03,57,4,,,77,8,2007,08,06,43,8,1979,06,27,1976
73247,愛媛県,成就社（ジョウジュシャ）,,2019,06,30,05,50,0.0,8,6.0,4,04,25,4,,,127,8,1999,09,15,42.5,8,2018,06,30,1980
73256,愛媛県,長浜（ナガハマ）,,2019,06,30,05,50,0.0,8,6.5,4,02,44,4,,,67,8,2004,08,23,57,8,2004,06,28,1976
73271,愛媛県,中山（ナカヤマ）,,2019,06,30,05,50,0.0,8,6.5,4,03,22,4,,,67,8,2005,07,03,51,8,2004,06,28,1976
73276,愛媛県,久万（クマ）,,2019,06,30,05,50,0.0,8,5.5,4,03,43,4,,,53.5,8,2017,09,17,36.5,8,2011,06,11,1976
73306,愛媛県,大洲（オオズ）,,2019,06,30,05,50,0.0,8,13.5,4,03,31,4,,,76,8,2004,08,01,41,8,1988,06,02,1976
73321,愛媛県,獅子越峠（シシゴエトウゲ）,,2019,06,30,05,50,0.5,8,14.0,4,04,35,4,,,101.0,8,2017,07,31,47,8,1998,06,19,1976
73341,愛媛県,瀬戸（セト）,,2019,06,30,05,50,0.0,8,7.0,4,04,12,4,,,52.5,8,2012,08,11,46.0,8,2016,06,20,1997
73351,愛媛県,八幡浜（ヤワタハマ）,,2019,06,30,05,50,0.0,8,9.5,4,03,29,4,,,57.5,8,2013,09,04,54.5,8,2016,06,21,1976
73406,愛媛県,宇和（ウワ）,,2019,06,30,05,50,4.0,8,15.5,4,04,42,4,,,68,8,1987,07,18,60,8,1988,06,24,1976
73442,愛媛県,宇和島（ウワジマ）,47892,2019,06,30,05,50,2.5,8,5.0,4,05,08,4,,,76.5,8,2011,06,20,76.5,8,2011,06,20,1937
73446,愛媛県,近永（チカナガ）,,2019,06,30,05,50,2.5,8,4.5,4,05,17,4,,,104,8,2004,08,02,51.0,8,2011,06,20,1979
73516,愛媛県,御荘（ミショウ）,,2019,06,30,05,50,3.0,8,5.5,4,05,15,4,,,74,8,1977,07,10,53,8,1998,06,21,1976
74056,高知県,本川（ホンガワ）,,2019,06,30,05,50,0.5,8,6.5,4,05,00,4,,,85.5,8,2013,09,04,47,8,1981,06,22,1979
74071,高知県,本山（モトヤマ）,,2019,06,30,05,50,0.5,8,1.0,4,05,27,4,,,102,8,1983,09,28,80,8,1999,06,29,1976
74101,高知県,池川（イケガワ）,,2019,06,30,05,50,1.0,8,3.0,4,05,19,4,,,96.0,8,2013,09,04,59.5,8,2012,06,19,1977
74126,高知県,繁藤（シゲトウ）,,2019,06,30,05,50,1.5,8,2.5,4,05,12,4,,,110,8,2004,08,01,82,8,1999,06,29,1976
74136,高知県,大栃（オオドチ）,,2019,06,30,05,50,1.0,8,1.0,4,05,50,4,,,87.5,8,2017,07,01,79,8,2007,06,09,1977
74151,高知県,魚梁瀬（ヤナセ）,,2019,06,30,05,50,1.5,8,2.0,4,05,42,4,,,114,8,1995,07,21,93.0,8,2008,06,29,1978
74166,高知県,佐川（サカワ）,,2019,06,30,05,50,2.0,8,2.5,4,05,44,4,,,86,8,1976,09,08,66.5,8,2018,06,29,1976
74181,高知県,高知（コウチ）,47893,2019,06,30,05,50,1.5,8,1.5,4,05,50,4,,,129.5,8,1998,09,24,106.8,8,1954,06,29,1937
74187,高知県,後免（ゴメン）,,2019,06,30,05,50,1.5,8,2.0,4,05,38,4,,,119,8,1998,09,24,66,8,1984,06,10,1978
74188,高知県,南国日章（ナンコクニッショウ）,,2019,06,30,05,50,2.5,8,2.5,4,05,50,4,,,102,8,2006,09,06,51.5,8,2008,06,29,2003
74237,高知県,船戸（フナト）,,2019,06,30,05,50,3.5,8,5.0,4,05,31,4,,,95.0,8,2009,08,10,70,8,2004,06,21,1976
74238,高知県,鳥形山（トリガタヤマ）,,2019,06,30,05,50,3.5,8,5.0,4,05,26,4,,,80.5,8,2017,09,17,47.0,8,2019,06,27,2010
74271,高知県,安芸（アキ）,,2019,06,30,05,50,1.0,8,1.0,4,05,50,4,,,83.0,8,2008,06,29,83.0,8,2008,06,29,1976
74276,高知県,田野（タノ）,,2019,06,30,05,50,0.5,8,1.5,4,05,41,4,,,92.0,8,2018,09,04,70.5,8,2019,06,27,1976
74296,高知県,梼原（ユスハラ）,,2019,06,30,05,50,2.0,8,4.0,4,05,07,4,,,83,8,1989,09,19,71,8,1988,06,24,1976
74311,高知県,須崎（スサキ）,,2019,06,30,05,50,2.5,8,2.5,4,05,50,4,,,126,8,1998,09,24,53.0,8,2010,06,26,1976
74336,高知県,佐喜浜（サキハマ）,,2019,06,30,05,50,2.5,8,2.5,4,05,50,4,,,133,8,2005,10,07,77,8,1988,06,27,1976
74361,高知県,窪川（クボカワ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,91,8,2004,08,01,67.5,8,2014,06,04,1976
74372,高知県,室戸岬（ムロトミサキ）,47899,2019,06,30,05,50,0.0,8,0.0,4,,,,,,149.0,8,2006,11,26,82.8,8,1954,06,22,1925
74381,高知県,江川崎（エカワサキ）,,2019,06,30,05,50,0.0,8,2.0,4,04,50,4,,,80,8,2004,08,01,55.0,8,2011,06,20,1977
74391,高知県,大正（タイショウ）,,2019,06,30,05,50,0.0,8,1.0,4,05,10,4,,,88,8,2004,09,16,48,8,1979,06,30,1976
74436,高知県,佐賀（サガ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,86.0,8,2016,09,20,71,8,1998,06,24,1977
74447,高知県,宿毛（スクモ）,47897,2019,06,30,05,50,2.0,8,2.5,4,05,40,4,,,108.0,8,2018,07,08,70.5,8,1975,06,05,1943
74456,高知県,中村（ナカムラ）,,2019,06,30,05,50,1.5,8,1.5,4,05,50,4,,,117,8,2004,08,02,64.0,8,2008,06,05,1976
74506,高知県,三崎（ミサキ）,,2019,06,30,05,50,0.0,8,0.0,4,,,,,,103.0,8,2015,08,29,57.5,8,2014,06,04,2005
74516,高知県,清水（シミズ）,47898,2019,06,30,05,50,0.0,8,0.0,4,,,,,,150.0,8,1944,10,17,72.5,8,2002,06,20,1940
81011,山口県,須佐（スサ）,,2019,06,30,05,50,0.0,8,1.5,4,02,25,4,,,138.5,8,2013,07,28,47.5,8,2018,06,30,1976
81071,山口県,萩（ハギ）,47754,2019,06,30,05,50,0.0,8,0.5,4,03,37,4,,,109.0,8,1971,08,23,62.0,8,1984,06,26,1949
81116,山口県,油谷（ユヤ）,,2019,06,30,05,50,0.0,8,0.5,4,02,24,4,,,78.0,8,2015,08,25,51,8,1999,06,29,1976
